,n_submodels,n_features,smooth,bootstrap,average_accuracy,standard_deviation
62,10,20,1.0,False,0.9809355067328136,0.006910992313560642
63,10,20,5.0,True,0.5411764705882354,0.13963103466244453
64,10,20,5.0,False,0.9474840538625088,0.007734115151100695
65,20,5,0.0,True,0.4873848334514529,0.16318913885468816
66,20,5,0.0,False,0.926789510985117,0.025173033142876552
67,20,5,0.5,True,0.49688164422395464,0.1438337891363304
68,20,5,0.5,False,0.9180722891566265,0.032488636389189376
69,20,5,1.0,True,0.5165131112686038,0.1400518479494568
70,20,5,1.0,False,0.9104890148830617,0.028081751736876843
71,20,5,5.0,True,0.654429482636428,0.16129980476692315
72,20,5,5.0,False,0.9063075832742736,0.02463605451893361
73,20,10,0.0,True,0.5906449326718639,0.13215522077578426
74,20,10,0.0,False,0.9722182849043233,0.02451137215729813
75,20,10,0.5,True,0.4810063784549965,0.13631049634250458
76,20,10,0.5,False,0.9608788093550673,0.022411158143038342
77,20,10,1.0,True,0.5299787384833451,0.15952807487616477
78,20,10,1.0,False,0.9537207654145995,0.022404993980293532
79,20,10,5.0,True,0.5029057406094968,0.09157284733655247
80,20,10,5.0,False,0.9548547129695251,0.019755421050996754
81,20,15,0.0,True,0.5065910701630051,0.1749626900652308
82,20,15,0.0,False,0.9973068745570519,0.0011339475549255948
83,20,15,0.5,True,0.5943302622253721,0.09924430207456866
84,20,15,0.5,False,0.9911410347271439,0.004473909029648944
85,20,15,1.0,True,0.48235294117647065,0.14125507646875454
86,20,15,1.0,False,0.984975194897236,0.009217684188739392
87,20,15,5.0,True,0.6369950389794472,0.11904204843962649
88,20,15,5.0,False,0.9518781006378456,0.01614709191702961
89,20,20,0.0,True,0.43876683203401845,0.1389365778338841
90,20,20,0.0,False,0.9971651311126861,0.0010511975176606104
91,20,20,0.5,True,0.5465627214741319,0.18253804195516554
92,20,20,0.5,False,0.9888022678951097,0.004468854080916924
93,20,20,1.0,True,0.540326009922041,0.13118629534838613
94,20,20,1.0,False,0.9814316087880934,0.007377470548361786
95,20,20,5.0,True,0.5981573352232459,0.1590298910681137
96,20,20,5.0,False,0.9533664068036855,0.00720525302743519
97,50,5,0.0,True,0.5199149539333805,0.15132737503156157
98,50,5,0.0,False,0.9226080793763287,0.022850608335287688
99,50,5,0.5,True,0.5294117647058824,0.14661130921438012
100,50,5,0.5,False,0.9245924875974485,0.014473109310694617
101,50,5,1.0,True,0.545570517363572,0.12063058324029498
102,50,5,1.0,False,0.9258681785967399,0.01671491199830808
103,50,5,5.0,True,0.5598157335223246,0.09174560005613945
104,50,5,5.0,False,0.9153791637136782,0.018924740496824185
105,50,10,0.0,True,0.5374202693125443,0.14517603061299447
106,50,10,0.0,False,0.9749114103472714,0.01940695005844913
107,50,10,0.5,True,0.5997873848334514,0.13843192276992708
108,50,10,0.5,False,0.9669029057406094,0.01750703687481257
109,50,10,1.0,True,0.502834868887314,0.09827342455970542
110,50,10,1.0,False,0.9562012756909992,0.02024451705566904
111,50,10,5.0,True,0.6218284904323175,0.17190774427349334
112,50,10,5.0,False,0.9508858965272855,0.021143185953410748
113,50,15,0.0,True,0.505669737774628,0.17488328051160998
